,,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,,,
GO:0000280,GO:0000280,GO:0000280,nuclear division,78/891,357/17913,2.48E-29,1.26E-25,1.04E-25,BMP7/BMP4/SPIRE2/SYCE1L/PLCB1/HSPA1A/SMPD3/FMN2/UBE2S/CCDC8/INCENP/FANCM/CKS2/BORA/CEP85/RAD54B/KNSTRN/NCAPD3/SMC2/PSRC1/KNTC1/FBXO5/CDT1/KIF22/MTBP/SMC4/FANCD2/FANCA/ESPL1/RACGAP1/BRCA2/EGF/PKMYT1/MAD2L1/CDC6/BRIP1/CDCA5/ZWINT/KIF23/TACC3/SPAG5/AURKB/MYBL2/PLK1/MYBL1/KIF2C/TRIP13/NUSAP1/SPDL1/KIF20B/CENPF/KIF11/CCNB1/NCAPH/NCAPG/UBE2C/TPX2/CDC20/CDCA8/ANLN/CDC25C/KIFC1/AURKA/CENPE/NEK2/KIF4A/KIF18A/PRC1/TTK/MKI67/LIF/TOP2A/KIF14/NDC80/BUB1B/DLGAP5/ASPM/WNT4,78,0,,GO:0043062
GO:0048285,GO:0048285,GO:0048285,organelle fission,81/891,395/17913,2.01E-28,5.11E-25,4.22E-25,BMP7/PPARGC1A/BMP4/SPIRE2/SYCE1L/PLCB1/DCN/HSPA1A/SMPD3/FMN2/UBE2S/CCDC8/INCENP/FANCM/CKS2/BORA/CEP85/RAD54B/KNSTRN/NCAPD3/SMC2/PSRC1/KNTC1/FBXO5/CDT1/KIF22/MTBP/SMC4/FANCD2/FANCA/ESPL1/RACGAP1/BRCA2/EGF/PKMYT1/MAD2L1/CDC6/BRIP1/CDCA5/ZWINT/KIF23/TACC3/SPAG5/AURKB/MTFR2/MYBL2/PLK1/MYBL1/KIF2C/TRIP13/NUSAP1/SPDL1/KIF20B/CENPF/KIF11/CCNB1/NCAPH/NCAPG/UBE2C/TPX2/CDC20/CDCA8/ANLN/CDC25C/KIFC1/AURKA/CENPE/NEK2/KIF4A/KIF18A/PRC1/TTK/MKI67/LIF/TOP2A/KIF14/NDC80/BUB1B/DLGAP5/ASPM/WNT4,81,0,,GO:0030198
GO:0140014,GO:0140014,GO:0140014,mitotic nuclear division,62/891,237/17913,4.52E-28,7.65E-25,6.32E-25,BMP7/BMP4/HSPA1A/SMPD3/UBE2S/CCDC8/INCENP/BORA/CEP85/KNSTRN/NCAPD3/SMC2/PSRC1/KNTC1/FBXO5/CDT1/KIF22/MTBP/SMC4/ESPL1/RACGAP1/EGF/PKMYT1/MAD2L1/CDC6/CDCA5/ZWINT/KIF23/TACC3/SPAG5/AURKB/MYBL2/PLK1/KIF2C/TRIP13/NUSAP1/SPDL1/KIF20B/CENPF/KIF11/CCNB1/NCAPH/NCAPG/UBE2C/TPX2/CDC20/CDCA8/ANLN/CDC25C/KIFC1/AURKA/CENPE/NEK2/KIF4A/KIF18A/PRC1/TTK/MKI67/KIF14/NDC80/BUB1B/DLGAP5,62,0,,GO:0006936
GO:0007059,GO:0007059,GO:0007059,chromosome segregation,64/891,275/17913,7.68E-26,9.75E-23,8.05E-23,GEM/SYCE1L/FMN2/INCENP/RMI2/FANCM/ECT2/CEP85/KNSTRN/NCAPD3/SMC2/PSRC1/FBXO5/FEN1/CDT1/KIF22/SMC4/BRCA1/FANCD2/ESPL1/RACGAP1/MAD2L1/CDC6/BRIP1/CENPN/CDCA5/ZWINT/KIF23/TACC3/SPAG5/AURKB/PLK1/KIF2C/TRIP13/NUSAP1/CDCA2/SPDL1/NUF2/CENPF/CCNB1/NCAPH/NCAPG/CDC20/CDCA8/KIFC1/SKA1/CENPE/NEK2/KIF4A/KIF18A/BUB1/PRC1/FAM83D/SKA3/BIRC5/TTK/MKI67/HJURP/TOP2A/KIF14/NDC80/BUB1B/SPC25/DLGAP5,64,0,,GO:0061448
GO:0000070,GO:0000070,GO:0000070,mitotic sister chromatid segregation,41/891,132/17913,4.91E-22,4.99E-19,4.12E-19,INCENP/KNSTRN/NCAPD3/SMC2/PSRC1/FBXO5/CDT1/KIF22/SMC4/ESPL1/RACGAP1/MAD2L1/CDC6/CDCA5/ZWINT/KIF23/TACC3/SPAG5/AURKB/PLK1/KIF2C/TRIP13/NUSAP1/SPDL1/CENPF/CCNB1/NCAPH/NCAPG/CDC20/CDCA8/KIFC1/CENPE/NEK2/KIF4A/KIF18A/PRC1/TTK/KIF14/NDC80/BUB1B/DLGAP5,41,0,,GO:0098742
GO:0000819,GO:0000819,GO:0000819,sister chromatid segregation,44/891,157/17913,1.49E-21,1.15E-18,9.46E-19,INCENP/RMI2/KNSTRN/NCAPD3/SMC2/PSRC1/FBXO5/FEN1/CDT1/KIF22/SMC4/ESPL1/RACGAP1/MAD2L1/CDC6/CDCA5/ZWINT/KIF23/TACC3/SPAG5/AURKB/PLK1/KIF2C/TRIP13/NUSAP1/SPDL1/CENPF/CCNB1/NCAPH/NCAPG/CDC20/CDCA8/KIFC1/CENPE/NEK2/KIF4A/KIF18A/BUB1/PRC1/TTK/KIF14/NDC80/BUB1B/DLGAP5,44,0,,GO:0071560
GO:0098813,GO:0098813,GO:0098813,nuclear chromosome segregation,52/891,220/17913,1.58E-21,1.15E-18,9.46E-19,GEM/SYCE1L/FMN2/INCENP/RMI2/FANCM/ECT2/KNSTRN/NCAPD3/SMC2/PSRC1/FBXO5/FEN1/CDT1/KIF22/SMC4/FANCD2/ESPL1/RACGAP1/MAD2L1/CDC6/BRIP1/CDCA5/ZWINT/KIF23/TACC3/SPAG5/AURKB/PLK1/KIF2C/TRIP13/NUSAP1/SPDL1/CENPF/CCNB1/NCAPH/NCAPG/CDC20/CDCA8/KIFC1/CENPE/NEK2/KIF4A/KIF18A/BUB1/PRC1/FAM83D/TTK/KIF14/NDC80/BUB1B/DLGAP5,52,0,,GO:0071559
GO:0051783,GO:0051783,GO:0051783,regulation of nuclear division,42/891,172/17913,3.47E-18,2.20E-15,1.82E-15,BMP7/BMP4/PLCB1/HSPA1A/SMPD3/CCDC8/BORA/CEP85/KNTC1/FBXO5/CDT1/MTBP/ESPL1/EGF/PKMYT1/MAD2L1/CDC6/CDCA5/TACC3/AURKB/PLK1/TRIP13/NUSAP1/SPDL1/KIF20B/CENPF/KIF11/CCNB1/UBE2C/CDC20/ANLN/CDC25C/AURKA/CENPE/NEK2/TTK/MKI67/LIF/NDC80/BUB1B/DLGAP5/WNT4,42,0,,GO:0007015
GO:0007088,GO:0007088,GO:0007088,regulation of mitotic nuclear division,39/891,150/17913,5.34E-18,3.01E-15,2.49E-15,BMP7/BMP4/HSPA1A/SMPD3/CCDC8/BORA/CEP85/KNTC1/FBXO5/CDT1/MTBP/ESPL1/EGF/PKMYT1/MAD2L1/CDC6/CDCA5/TACC3/AURKB/PLK1/TRIP13/NUSAP1/SPDL1/KIF20B/CENPF/KIF11/CCNB1/UBE2C/CDC20/ANLN/CDC25C/AURKA/CENPE/NEK2/TTK/MKI67/NDC80/BUB1B/DLGAP5,39,0,,GO:0031032
GO:0051983,GO:0051983,GO:0051983,regulation of chromosome segregation,29/891,93/17913,5.03E-16,2.56E-13,2.11E-13,RMI2/ECT2/KNSTRN/FBXO5/FEN1/CDT1/ESPL1/RACGAP1/MAD2L1/CDC6/CDCA5/TACC3/SPAG5/AURKB/PLK1/KIF2C/TRIP13/SPDL1/CENPF/CCNB1/CDC20/CENPE/NEK2/BUB1/TTK/MKI67/NDC80/BUB1B/DLGAP5,29,0,,GO:0006939
GO:0030198,GO:0030198,GO:0030198,extracellular matrix organization,56/891,334/17913,8.56E-16,3.96E-13,3.26E-13,MMP8/MMP13/MMP3/MMP1/MMP10/AGT/LAMC2/SPOCK2/CTSK/DPP4/TNFRSF11B/CTSL/TMEM38B/VWA1/LAMA1/CTSS/DCN/SMPD3/PXDN/APBB2/SPARC/SH3PXD2A/B4GALT1/ADAM19/ITGA6/ADAMTS2/ADAMTS3/CCDC80/HSPG2/FN1/ADAMTS4/COL12A1/SULF1/SPP1/COL1A1/FBN1/ADTRP/VCAN/COL8A2/COL5A1/COL4A4/ADAM12/MFAP5/SCX/MATN3/COL8A1/ITGA11/SERPINE1/MMP9/VCAM1/COL10A1/SPINT2/COL11A1/COMP/HAPLN1/ELN,56,1,,GO:0070252
GO:0000226,GO:0000226,GO:0000226,microtubule cytoskeleton organization,66/891,460/17913,6.27E-15,2.66E-12,2.19E-12,CCDC114/SPIRE2/HSPA1A/FMN2/CCDC8/CEP152/EZR/BORA/CEP85/KNSTRN/CENPJ/SASS6/PSRC1/FBXO5/CEP72/CCNF/NEK7/XRCC2/BRCA1/AUNIP/POC1A/SYNE2/ESPL1/GAS2L3/RACGAP1/BRCA2/MET/CKAP2/STIL/MAD2L1/PLK4/NAV3/KIF23/TACC3/SPAG5/AURKB/WDR62/CDK1/MYBL2/PLK1/KIF2C/KIF18B/NUSAP1/SPDL1/KIF11/CCNB1/TPX2/CDC20/KIFC1/SKA1/AURKA/CENPE/NEK2/KIF24/KIF4A/KIF18A/CAPN6/PRC1/SKA3/CENPA/TTK/NDC80/SPC25/ASPM/KIF20A/SAPCD2,66,0,,GO:0030199
GO:0006260,GO:0006260,GO:0006260,DNA replication,47/891,260/17913,1.02E-14,3.97E-12,3.28E-12,UCN/TREX1/RBBP8/RMI2/FANCM/RRM1/GMNN/TIMELESS/NFIB/TICRR/PRIM1/RNASEH2A/MCM5/CHAF1A/CDC7/ATAD5/FBXO5/ORC1/GLI2/RAD51/CHAF1B/FEN1/POLE2/DBF4B/CDT1/RFC3/BLM/BRCA1/GINS1/DTL/E2F7/BRCA2/GINS4/CDC45/ORC6/GLI1/CDC6/EXO1/BRIP1/RRM2/CDK1/CCNA2/ZNF365/ESCO2/E2F8/MCM10/CLSPN,47,0,,GO:0042310
GO:0043062,GO:0043062,GO:0043062,extracellular structure organization,59/891,387/17913,1.19E-14,4.34E-12,3.58E-12,MMP8/MMP13/MMP3/MMP1/MMP10/AGT/BMP7/LAMC2/SPOCK2/CTSK/DPP4/TNFRSF11B/CTSL/TMEM38B/VWA1/ABCG1/LAMA1/CTSS/DCN/SMPD3/PXDN/APBB2/SPARC/SH3PXD2A/B4GALT1/ADAM19/ITGA6/ADAMTS2/ADAMTS3/CCDC80/HSPG2/FN1/ADAMTS4/COL12A1/SULF1/SPP1/COL1A1/FBN1/ADTRP/VCAN/COL8A2/COL5A1/COL4A4/ADAM12/MFAP5/SCX/MATN3/COL8A1/ITGA11/SERPINE1/MMP9/SDC1/VCAM1/COL10A1/SPINT2/COL11A1/COMP/HAPLN1/ELN,59,1,,GO:0038065
GO:0007051,GO:0007051,GO:0007051,spindle organization,34/891,147/17913,3.18E-14,1.08E-11,8.89E-12,HSPA1A/EZR/BORA/KNSTRN/PSRC1/FBXO5/CEP72/NEK7/AUNIP/POC1A/ESPL1/RACGAP1/STIL/KIF23/TACC3/SPAG5/AURKB/WDR62/MYBL2/PLK1/KIF11/CCNB1/TPX2/CDC20/KIFC1/AURKA/CENPE/NEK2/KIF4A/PRC1/TTK/NDC80/SPC25/ASPM,34,0,,GO:0007156
GO:1902850,GO:1902850,GO:1902850,microtubule cytoskeleton organization involved in mitosis,29/891,116/17913,2.97E-13,9.43E-11,7.78E-11,HSPA1A/BORA/PSRC1/POC1A/ESPL1/RACGAP1/STIL/MAD2L1/KIF23/TACC3/AURKB/WDR62/MYBL2/PLK1/NUSAP1/SPDL1/KIF11/CCNB1/TPX2/CDC20/KIFC1/CENPE/KIF4A/PRC1/CENPA/TTK/NDC80/SPC25/SAPCD2,29,0,,GO:0030048
GO:0045787,GO:0045787,GO:0045787,positive regulation of cell cycle,55/891,373/17913,3.96E-13,1.18E-10,9.77E-11,EVI2B/MIR221/ADAMTS1/RAB11FIP4/NR4A3/BCL2L11/PLCB1/SMPD3/ECT2/FGFR2/EIF4EBP1/CKS2/EZH2/CENPJ/CDC7/PSRC1/ATAD5/GATA6/FBXO5/E2F1/FEN1/DBF4B/CDT1/MTBP/BRCA1/POC1A/ESPL1/DTL/E2F7/RACGAP1/BRCA2/EGF/GLI1/MAD2L1/CDC6/PLK4/CDCA5/KIF23/SPAG5/AURKB/ASNS/CDK1/NUSAP1/E2F8/KIF20B/CCNB1/UBE2C/CDC25C/AURKA/FAM83D/GTSE1/KIF14/NDC80/DLGAP5/WNT4,55,0,,GO:0010810
GO:0090068,GO:0090068,GO:0090068,positive regulation of cell cycle process,46/891,283/17913,1.06E-12,3.00E-10,2.48E-10,MIR221/ADAMTS1/RAB11FIP4/PLCB1/SMPD3/ECT2/EZH2/CENPJ/CDC7/ATAD5/GATA6/FBXO5/E2F1/FEN1/DBF4B/CDT1/MTBP/BRCA1/POC1A/ESPL1/DTL/E2F7/RACGAP1/EGF/GLI1/MAD2L1/CDC6/PLK4/CDCA5/KIF23/SPAG5/AURKB/CDK1/NUSAP1/E2F8/KIF20B/CCNB1/UBE2C/CDC25C/AURKA/FAM83D/GTSE1/KIF14/NDC80/DLGAP5/WNT4,46,0,,GO:0007229
